,precio,ubicacion,detalles
264,$ 1.500.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño, 42 m²"
265,$ 7.000.000/mes,"Bogotá, D.C., Bogotá","4 habitaciones, 3 baños, 578 m²"
266,$ 4.637.000/mes,"Bogotá, Bogotá","3 habitaciones, 3 baños, 107 m²"
267,$ 1.200.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 1,5 baños, 100 m²"
268,$ 13.000.000/mes,"Bogotá, Bogotá","4 habitaciones, 4 baños, 448 m²"
269,$ 4.300.000/mes,"Bogotá, Bogotá","1 habitación, 2 baños, 63 m²"
270,$ 3.650.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 4,5 baños, 120 m²"
271,$ 4.000.000/mes,"Bogotá, Bogotá","1 habitación, 2 baños, 50 m²"
272,$ 2.100.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 2 baños, 61 m²"
273,$ 3.250.000/mes,"Bogotá, Bogotá","1 habitación, 2,5 baños, 50 m²"
274,$ 16.000.000/mes,"Bogotá, D.C., Bogotá","4 habitaciones, 4 baños, 229 m²"
275,$ 6.500.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 4 baños, 330 m²"
276,$ 1.400.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 2 baños, 53 m²"
277,$ 2.437.113/mes,"Bogotá, Bogotá","3 habitaciones, 2 baños, 59 m²"
278,$ 1.500.000/mes,"Bogotá, Bogotá","2 habitaciones, 2 baños, 33 m²"
279,$ 2.200.000/mes,"Bogotá, D.C., Bogotá","1 habitación, 1 baño, 31 m²"
280,$ 2.600.000/mes,"Bogotá, D.C., Bogotá","1 habitación, 1 baño, 45 m²"
281,$ 1.114.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 1 baño, 36 m²"
282,$ 3.288.000/mes,"Bogotá, Bogotá","3 habitaciones, 2 baños, 132 m²"
283,$ 18.025.000/mes,"Bogotá, Bogotá","5 habitaciones, 5 baños, 520 m²"
284,$ 1.842.679/mes,"Bogotá, D.C., Bogotá","1 habitación, 1 baño, 33 m²"
285,$ 3.600.000/mes,"Bogotá, Bogotá","3 habitaciones, 2,5 baños, 157 m²"
286,$ 1.500.000/mes,"Bogotá, Bogotá","2 habitaciones, 1 baño, 65 m²"
287,$ 2.200.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño, 27 m²"
288,$ 10.500.000/mes,"Bogotá, D.C., Bogotá","5 habitaciones, 4,5 baños, 383 m²"
289,$ 6.500.000/mes,"Bogotá, D.C., Bogotá","2 habitaciones, 3 baños, 90 m²"
290,$ 23.000.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 3,5 baños, 289 m²"
291,$ 25.450.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 3,5 baños, 269 m²"
292,$ 5.000.000/mes,"Bogotá, D.C., Bogotá","3 habitaciones, 2 baños, 80 m²"
293,$ 3.000.000/mes,"Bogotá, D.C., Bogotá, D.C.","1 habitación, 1 baño, 46 m²"
294,$ 6.200.000/mes,"Bogotá, Bogotá","3 habitaciones, 3 baños, 160 m²"
295,$ 1.550.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño, 28 m²"
296,$ 1.450.000/mes,"Bogotá, Bogotá","1 habitación, 1 baño, 27 m²"
297,$ 4.600.000/mes,"Bogotá, D.C., Bogotá, D.C.","3 habitaciones, 3,5 baños, 126 m²"
